Data Table for Daily Death Trends - California
Date generated: Tue Nov 30 2021 18:09:39 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,Total Doses Administered
California,May 30 2021,7,40513165
California,May 29 2021,0,40463460
California,May 28 2021,170,40352968
California,May 27 2021,31,40158244
California,May 26 2021,54,39978365
California,May 25 2021,8,39788192
California,May 24 2021,7,39591758
California,May 23 2021,33,39413751
California,May 22 2021,50,39319457
California,May 21 2021,69,39107656
California,May 20 2021,48,38815198
California,May 19 2021,42,38539718
California,May 18 2021,3,38250702
California,May 17 2021,11,37957460
California,May 16 2021,55,37706902
California,May 15 2021,27,37559255
California,May 14 2021,66,37271258
California,May 13 2021,46,36916122
California,May 12 2021,59,36586963
California,May 11 2021,5,36304382
California,May 10 2021,13,36016976
California,May  9 2021,61,35800476
California,May  8 2021,140,35699882
California,May  7 2021,100,35457392
California,May  6 2021,65,35091188
California,May  5 2021,97,34722509
California,May  4 2021,2,34371610
California,May  3 2021,15,34026073
California,May  2 2021,123,33761250
California,May  1 2021,158,33638293
California,Apr 30 2021,105,33375994
California,Apr 29 2021,89,32973574
California,Apr 28 2021,65,32587004
California,Apr 27 2021,5,32201987
California,Apr 26 2021,15,31810809
California,Apr 25 2021,53,31492388
California,Apr 24 2021,49,31331517
California,Apr 23 2021,94,30989090
California,Apr 22 2021,102,30517054
California,Apr 21 2021,86,30039073
California,Apr 20 2021,32,29577618
California,Apr 19 2021,4,29119057
California,Apr 18 2021,78,28789379
California,Apr 17 2021,103,28625460
California,Apr 16 2021,79,28263850
California,Apr 15 2021,136,27758065
California,Apr 14 2021,114,27237862
California,Apr 13 2021,9,26762509
California,Apr 12 2021,31,26305634
California,Apr 11 2021,105,25948684
California,Apr 10 2021,170,25746589
California,Apr  9 2021,155,25349426
California,Apr  8 2021,129,24818179
California,Apr  7 2021,118,24281477
California,Apr  6 2021,7,23767911
California,Apr  5 2021,21,23271226
California,Apr  4 2021,109,22887599
California,Apr  3 2021,135,22748630
California,Apr  2 2021,179,22398028
California,Apr  1 2021,154,21887311
California,Mar 31 2021,148,21355834
California,Mar 30 2021,10,20899603
California,Mar 29 2021,32,20467902
California,Mar 28 2021,195,20130455
California,Mar 27 2021,215,19948366
California,Mar 26 2021,245,19613744
California,Mar 25 2021,241,19136959
California,Mar 24 2021,254,18684321
California,Mar 23 2021,51,18267991
California,Mar 22 2021,427,17881174
California,Mar 21 2021,46,17587975
California,Mar 20 2021,45,17431847
California,Mar 19 2021,232,17117545
California,Mar 18 2021,218,16674924
California,Mar 17 2021,205,16237153
California,Mar 16 2021,42,15830631
California,Mar 15 2021,95,15446026
California,Mar 14 2021,140,15135107
California,Mar 13 2021,217,14970731
California,Mar 12 2021,288,14668698
California,Mar 11 2021,270,14241640
